asp	aspetta
bm	bimbominkia
bmk	bimbominkia
bn	bene
c6	ci sei
cm	come
cmq	comunque
cn	con
cpt	capito
cs	cosa
cved	ci vediamo
dgt	digiti
dmn	domani
dv	dove
fb	Facebook
gr8	bello
gratz	contratulazioni
gz	congratulazioni
grz	grazie
grx	grazie
k	che
ke	che
mex	messaggio
msg	messaggio
n8	notte
n00b	novellino
newbie	novellino
niubbo	novellino
nabbo	novellino
nih	non inventato qui
nn	non
nnt	niente
np	no problem
omg	oh, mio Dio!
ooo	fuori dall'ufficio
ot	fuori argomento
pda	perfettamente d'accordo
plz	per favore
pls	per favore
pm	messaggio privato
prg	prego
pvt	privato
qlc	qualche
qlcn	qualcuno
qlcs	qualcosa
qlnq	qualunque
q8	quoto
qll	quello
qlk1	qualcuno
qnd	quando
qnt	quanto
rosik	rosicare
scs	scusa
sl	solo
tat	ti amo tanto
tba	ancora da annunciare
tbh	ad esser sincero
tc	abbi cura
tgif	grazie a Dio è venerdì
tfs	grazie per aver condiviso
thx	grazie
tnx	grazie
tldr	troppo lungo, non ho letto
tt	tutto
ttt	tutto
tvb	ti voglio bene
tvtb	ti voglio tanto bene
tv1mdb	ti voglio un mondo di bene
tv1kb	ti voglio un casino di bene
wip	lavori in corso
x	per
xchè	perché
xkè	perché
xché	perché
xké	perché
xk	perché
xc	perché
xes	per esempio
xoxo	baci e abbracci
xdn	perdono
xò	però
xsn	persone
yt	youtube
